left,right,time
25935,39701,1509599201.844981
25935,39701,1509599201.945217
25935,39701,1509599202.045322
25935,39701,1509599202.145454
25935,39701,1509599202.245556
25935,39701,1509599202.345680
25935,39701,1509599202.445801
25935,39701,1509599202.545905
25935,39701,1509599202.646067
25935,39701,1509599202.746181
25935,39701,1509599202.846294
25935,39701,1509599202.946401
25935,39701,1509599203.046547
25935,39701,1509599203.146691
25935,39701,1509599203.246824
25935,39701,1509599203.346953
25935,39701,1509599203.447076
25935,39701,1509599203.547239
25935,39701,1509599203.647352
25935,39701,1509599203.747472
25935,39701,1509599203.847583
25935,39701,1509599203.947735
25935,39701,1509599204.047900
25935,39701,1509599204.148067
25935,39701,1509599204.248213
25935,39701,1509599204.348329
25935,39701,1509599204.448447
25935,39701,1509599204.548598
25935,39701,1509599204.648732
25935,39701,1509599204.748855
25935,39701,1509599204.849006
25935,39701,1509599204.949170
25935,39701,1509599205.049334
25935,39701,1509599205.149473
25935,39701,1509599205.249627
25935,39701,1509599205.349802
25935,39701,1509599205.449974
25935,39701,1509599205.550079
25935,39701,1509599205.650181
25935,39701,1509599205.750315
25935,39701,1509599205.850478
25935,39701,1509599205.950619
25935,39701,1509599206.050754
25935,39701,1509599206.150918
25935,39701,1509599206.251082
25935,39701,1509599206.351255
25935,39701,1509599206.451422
25935,39701,1509599206.551588
25935,39701,1509599206.651752
25935,39701,1509599206.751917
25935,39701,1509599206.852082
25935,39701,1509599206.952248
25935,39701,1509599207.052415
25935,39701,1509599207.152545
25935,39701,1509599207.252678
25935,39701,1509599207.352809
25935,39701,1509599207.452922
25935,39701,1509599207.553092
25935,39701,1509599207.653258
25935,39701,1509599207.753368
25935,39701,1509599207.853502
25935,39701,1509599207.953633
25935,39701,1509599208.053765
25935,39701,1509599208.153863
25935,39701,1509599208.254007
25935,39701,1509599208.354111
25935,39701,1509599208.454210
25935,39701,1509599208.554322
25935,39701,1509599208.654445
25935,39701,1509599208.754588
25935,39701,1509599208.854735
25935,39701,1509599208.954907
25935,39701,1509599209.055036
25935,39701,1509599209.155170
25935,39701,1509599209.255302
25935,39701,1509599209.355460
25935,39701,1509599209.455624
25935,39701,1509599209.555788
25935,39701,1509599209.655906
25935,39701,1509599209.756002
25935,39701,1509599209.856160
25959,39722,1509599209.956324
25976,39741,1509599210.056487
25997,39761,1509599210.156629
26029,39794,1509599210.256792
26051,39817,1509599210.356959
26124,39886,1509599210.457126
26172,39938,1509599210.557290
26319,40082,1509599210.657454
26480,40243,1509599210.757620
26581,40345,1509599210.857728
26844,40607,1509599210.957889
26976,40738,1509599211.058036
27280,41039,1509599211.158139
27508,41264,1509599211.258239
27901,41655,1509599211.358369
28184,41937,1509599211.458501
28356,42109,1509599211.558637
28756,42507,1509599211.658802
28931,42684,1509599211.758966
29279,43033,1509599211.859099
29631,43380,1509599211.959255
29864,43610,1509599212.059421
30218,43960,1509599212.159565
30392,44133,1509599212.259723
30802,44538,1509599212.359887
31037,44774,1509599212.460055
31268,45005,1509599212.560220
31684,45415,1509599212.660385
31863,45595,1509599212.760550
32100,45831,1509599212.860715
32583,46307,1509599212.960880
32762,46485,1509599213.061045
33121,46842,1509599213.161188
33480,47201,1509599213.261344
33663,47382,1509599213.361508
34083,47802,1509599213.461612
34325,48042,1509599213.561722
34692,48410,1509599213.661837
35004,48716,1509599213.762005
35188,48901,1509599213.862152
35616,49324,1509599213.962320
35859,49566,1509599214.062419
36227,49930,1509599214.162571
36412,50114,1509599214.262711
36777,50476,1509599214.362844
37146,50841,1509599214.462998
37515,51211,1509599214.563114
37762,51456,1509599214.663218
38008,51700,1509599214.763375
38381,52073,1509599214.863542
38629,52319,1509599214.963713
39064,52752,1509599215.063894
39312,53002,1509599215.164059
39565,53255,1509599215.264223
39946,53630,1509599215.364390
40139,53823,1509599215.464557
40521,54200,1509599215.564755
40892,54581,1509599215.664846
41126,54857,1509599215.765003
41461,55278,1509599215.865141
41800,55696,1509599215.965303
42027,55974,1509599216.065437
42249,56248,1509599216.165554
42624,56761,1509599216.265681
42820,57069,1509599216.365794
43084,57558,1509599216.465912
43244,57891,1509599216.566034
43483,58403,1509599216.666120
43604,58661,1509599216.766243
43887,59265,1509599216.866376
44007,59522,1509599216.966537
44249,60038,1509599217.066678
44493,60559,1509599217.166788
44655,60906,1509599217.266923
44896,61430,1509599217.367075
45055,61781,1509599217.467241
45239,62108,1509599217.567406
45588,62655,1509599217.667571
45811,62950,1509599217.767737
46151,63382,1509599217.867901
46324,63605,1509599217.968068
46716,64117,1509599218.068233
46885,64334,1509599218.168397
47225,64775,1509599218.268563
47568,65215,1509599218.368729
47797,65509,1509599218.468894
48137,414,1509599218.569058
48420,782,1509599218.669223
48644,1075,1509599218.769389
48873,1371,1509599218.869554
49214,1810,1509599218.969719
49556,2250,1509599219.069885
49785,2543,1509599219.170032
50128,2982,1509599219.270136
50299,3202,1509599219.370301
50641,3653,1509599219.470438
51010,4079,1509599219.570572
51202,4272,1509599219.670710
51662,4750,1509599219.770869
51944,5000,1509599219.870983
52229,5248,1509599219.971148
52723,5677,1509599220.071312
52935,5859,1509599220.171475
53439,6291,1509599220.271640
53725,6536,1509599220.371804
54157,6902,1509599220.471966
54376,7087,1509599220.572131
54809,7458,1509599220.672297
55235,7826,1509599220.772462
55459,8006,1509599220.872629
56011,8381,1509599220.972794
56407,8643,1509599221.072958
56723,8854,1509599221.173122
57198,9173,1509599221.273286
57519,9382,1509599221.373450
57844,9594,1509599221.473618
58330,9914,1509599221.573783
58820,10233,1509599221.673947
59062,10394,1509599221.774075
59546,10710,1509599221.874207
60037,11030,1509599221.974343
60362,11241,1509599222.074475
60684,11448,1509599222.174606
61242,11838,1509599222.274742
61543,12067,1509599222.374881
61832,12306,1509599222.475039
62198,12612,1509599222.575203
62636,12979,1509599222.675366
63061,13366,1509599222.775530
63332,13636,1509599222.875694
63747,14047,1509599222.975858
63953,14251,1509599223.076022
64365,14658,1509599223.176188
64636,14926,1509599223.276353
65108,15398,1509599223.376471
65380,15669,1509599223.476596
256,16074,1509599223.576761
534,16347,1509599223.676925
944,16747,1509599223.777089
1145,16950,1509599223.877226
1556,17359,1509599223.977390
1966,17766,1509599224.077556
2168,17967,1509599224.177722
2649,18445,1509599224.277888
2928,18722,1509599224.377970
3343,19132,1509599224.478069
3692,19476,1509599224.578173
3896,19679,1509599224.678307
4361,20166,1509599224.778442
4614,20459,1509599224.878579
4985,20908,1509599224.978744
5172,21130,1509599225.078884
5542,21574,1509599225.179049
5910,22026,1509599225.279213
6092,22248,1509599225.379324
6522,22778,1509599225.479484
6764,23074,1509599225.579589
7129,23526,1509599225.679739
7439,23898,1509599225.779905
7808,24347,1509599225.880009
8055,24647,1509599225.980162
8320,24928,1509599226.080294
8731,25342,1509599226.180447
9070,25685,1509599226.280613
9276,25895,1509599226.380737
9694,26317,1509599226.480904
10107,26729,1509599226.581072
10316,26937,1509599226.681239
10735,27356,1509599226.781405
11156,27777,1509599226.881571
11503,28122,1509599226.981739
11921,28546,1509599227.081903
12266,28892,1509599227.181981
12538,29165,1509599227.282083
12884,29512,1509599227.382210
13095,29722,1509599227.482341
13512,30135,1509599227.582473
13993,30618,1509599227.682604
14268,30894,1509599227.782763
14686,31311,1509599227.882927
14892,31518,1509599227.983092
15308,31938,1509599228.083196
15730,32356,1509599228.183345
16009,32635,1509599228.283510
16289,32911,1509599228.383628
16773,33393,1509599228.483795
17053,33674,1509599228.583930
17468,34087,1509599228.684050
17749,34366,1509599228.784172
18029,34647,1509599228.884300
18444,35059,1509599228.984433
18861,35477,1509599229.084562
19070,35685,1509599229.184691
19487,36101,1509599229.284819
19900,36515,1509599229.384941
20248,36863,1509599229.485085
20454,37070,1509599229.585214
20939,37550,1509599229.685313
21124,37735,1509599229.785419
21496,38110,1509599229.885518
21690,38306,1509599229.985620
21785,38401,1509599230.085827
21870,38486,1509599230.186047
21872,38489,1509599230.286205
21877,38486,1509599230.386365
21887,38468,1509599230.486516
21904,38450,1509599230.586653
21976,38382,1509599230.686790
22012,38345,1509599230.786959
22127,38226,1509599230.887127
22199,38157,1509599230.987294
22288,38067,1509599231.087466
22394,37962,1509599231.187646
22451,37909,1509599231.287827
22563,37799,1509599231.387977
22671,37693,1509599231.488144
22724,37636,1509599231.588316
22852,37507,1509599231.688481
22913,37454,1509599231.788648
23044,37322,1509599231.888818
23141,37227,1509599231.988984
23240,37132,1509599232.089149
23314,37053,1509599232.189315
23391,36974,1509599232.289485
23508,36860,1509599232.389653
23623,36745,1509599232.489837
23683,36688,1509599232.590015
23798,36574,1509599232.690149
23917,36458,1509599232.790301
23977,36402,1509599232.890449
24119,36270,1509599232.990588
24179,36207,1509599233.090729
24320,36075,1509599233.190868
24424,35977,1509599233.291033
24508,35898,1509599233.391150
24630,35779,1509599233.491271
24692,35718,1509599233.591444
24813,35600,1509599233.691636
24934,35485,1509599233.791818
24996,35426,1509599233.891966
25120,35303,1509599233.992135
25246,35181,1509599234.092313
25310,35120,1509599234.192484
25458,34973,1509599234.292672
25537,34890,1509599234.392838
25620,34807,1509599234.493007
25768,34662,1509599234.593176
25830,34601,1509599234.693347
25959,34476,1509599234.793532
26086,34352,1509599234.893715
26152,34289,1509599234.993896
26281,34161,1509599235.094077
26413,34029,1509599235.194260
26500,33939,1509599235.294442
26637,33805,1509599235.394593
26748,33698,1509599235.494781
26834,33605,1509599235.594962
26920,33518,1509599235.695144
27054,33386,1509599235.795327
27166,33275,1509599235.895469
27203,33236,1509599235.995645
27219,33214,1509599236.095818
27219,33214,1509599236.196006
27219,33214,1509599236.296188
27221,33220,1509599236.396356
27232,33233,1509599236.496543
27288,33290,1509599236.596713
27348,33350,1509599236.696899
27434,33438,1509599236.797065
27636,33637,1509599236.897237
27737,33740,1509599236.997405
27991,33989,1509599237.097580
28101,34099,1509599237.197700
28319,34312,1509599237.297834
28527,34518,1509599237.397963
28612,34605,1509599237.498061
28742,34741,1509599237.598196
28842,34844,1509599237.698353
28925,34924,1509599237.798523
29026,34993,1509599237.898657
29079,35002,1509599237.998814
29111,34997,1509599238.098984
29134,34955,1509599238.199117
29131,34903,1509599238.299271
29108,34846,1509599238.399405
29044,34704,1509599238.499521
28932,34508,1509599238.599681
28852,34382,1509599238.699840
28664,34130,1509599238.800010
28446,33908,1509599238.900184
28212,33711,1509599239.000309
28043,33590,1509599239.100460
27878,33473,1509599239.200671
27581,33268,1509599239.300858
27408,33150,1509599239.401026
27153,32966,1509599239.501155
26976,32849,1509599239.601275
26828,32710,1509599239.701425
26609,32489,1509599239.801529
26384,32264,1509599239.901687
26272,32154,1509599240.001805
26034,31917,1509599240.101979
25757,31638,1509599240.202122
25482,31362,1509599240.302259
25313,31190,1509599240.402393
24906,30782,1509599240.502504
24729,30603,1509599240.602655
24317,30190,1509599240.702797
24049,29877,1509599240.802961
23893,29681,1509599240.903127
23535,29224,1509599241.003268
23329,28961,1509599241.103419
23016,28570,1509599241.203588
22859,28370,1509599241.303761
22540,27975,1509599241.403944
22222,27579,1509599241.504063
22052,27384,1509599241.604221
21633,26954,1509599241.704391
21393,26713,1509599241.804559
21153,26470,1509599241.904729
20703,26016,1509599242.004873
20430,25736,1509599242.105029
20150,25455,1509599242.205198
19672,24976,1509599242.305381
19192,24492,1509599242.405530
18948,24246,1509599242.505656
18467,23760,1509599242.605816
17980,23271,1509599242.706001
17736,23026,1509599242.806108
17248,22531,1509599242.906241
16761,22041,1509599243.006376
16437,21714,1509599243.106513
16108,21381,1509599243.206647
15541,20810,1509599243.306783
15180,20446,1509599243.406924
14635,19902,1509599243.507033
14356,19621,1509599243.607201
13700,18961,1509599243.707366
13423,18683,1509599243.807501
12866,18124,1509599243.907655
12309,17558,1509599244.007819
12028,17278,1509599244.107986
11465,16714,1509599244.208158
11089,16338,1509599244.308346
10376,15618,1509599244.408514
9851,15091,1509599244.508637
9541,14777,1509599244.608808
8808,14043,1509599244.708973
8386,13618,1509599244.809143
7708,12938,1509599244.909328
7361,12590,1509599245.009466
6668,11894,1509599245.109641
5977,11214,1509599245.209823
5632,10865,1509599245.309975
4965,10145,1509599245.410112
4313,9411,1509599245.510224
3986,9042,1509599245.610354
3214,8178,1509599245.710521
2672,7566,1509599245.810702
2241,7070,1509599245.910887
1586,6329,1509599246.011029
1148,5835,1509599246.111155
706,5337,1509599246.211325
44,4592,1509599246.311492
64915,3843,1509599246.411659
64583,3470,1509599246.511780
63925,2722,1509599246.611947
63244,1994,1509599246.712118
62774,1522,1509599246.812293
62070,812,1509599246.912474
61713,449,1509599247.012644
60879,65143,1509599247.112815
60403,64663,1509599247.212984
59932,64186,1509599247.313170
59098,63344,1509599247.413335
58741,62984,1509599247.513455
57880,62178,1509599247.613618
57505,61842,1509599247.713800
56753,61161,1509599247.813980
55992,60489,1509599247.914168
55490,60034,1509599248.014283
54737,59355,1509599248.114452
54355,59014,1509599248.214633
53497,58189,1509599248.314778
53141,57830,1509599248.414923
52300,56986,1509599248.515038
51820,56502,1509599248.615199
50976,55650,1509599248.715335
50496,55167,1509599248.815496
50131,54805,1509599248.915686
49288,53954,1509599249.015863
48897,53563,1509599249.116031
48113,52779,1509599249.216199
47316,51979,1509599249.316370
46906,51565,1509599249.416541
46069,50730,1509599249.516685
45229,49890,1509599249.616841
44662,49326,1509599249.717028
43669,48329,1509599249.817151
43094,47754,1509599249.917327
42529,47183,1509599250.017505
41501,46159,1509599250.117690
40742,45402,1509599250.217822
40286,44945,1509599250.317986
39375,44030,1509599250.418097
38463,43113,1509599250.518202
38006,42656,1509599250.618324
37095,41742,1509599250.718454
36491,41136,1509599250.818576
35575,40218,1509599250.918737
34667,39308,1509599251.018878
34063,38700,1509599251.119038
33460,38094,1509599251.219178
32403,37038,1509599251.319329
31795,36430,1509599251.419468
30904,35552,1509599251.519619
30334,34991,1509599251.619786
29472,34214,1509599251.719956
29095,33847,1509599251.820121
28123,32856,1509599251.920288
27662,32398,1509599252.020457
26732,31470,1509599252.120643
25832,30565,1509599252.220820
25066,29802,1509599252.320983
24457,29195,1509599252.421125
23844,28584,1509599252.521280
22763,27530,1509599252.621448
22143,26952,1509599252.721614
21527,26375,1509599252.821786
20605,25521,1509599252.921976
19668,24649,1509599253.022100
19198,24213,1509599253.122205
18278,23318,1509599253.222344
17364,22407,1509599253.322494
16761,21801,1509599253.422626
16172,21178,1509599253.522732
15312,20246,1509599253.622900
14749,19622,1509599253.723067
13797,18562,1509599253.823231
13134,17878,1509599253.923394
12786,17486,1509599254.023562
11988,16626,1509599254.123705
11518,16117,1509599254.223850
10808,15333,1509599254.324004
10452,14938,1509599254.424183
9840,14375,1509599254.524309
9320,13817,1509599254.624472
9101,13549,1509599254.724619
8626,13053,1509599254.824785
8386,12814,1509599254.924923
8192,12582,1509599255.025035
7936,12269,1509599255.125149
7844,12169,1509599255.225315
7693,12018,1509599255.325485
7661,11990,1509599255.425654
7680,12002,1509599255.525795
7686,12007,1509599255.625949
7701,12017,1509599255.726072
7705,12017,1509599255.826173
7705,12017,1509599255.926339
7712,12024,1509599256.026477
7748,12058,1509599256.126579
7782,12093,1509599256.226714
7830,12141,1509599256.326818
7959,12272,1509599256.426976
8079,12390,1509599256.527079
8288,12596,1509599256.627218
8446,12752,1509599256.727325
8627,12934,1509599256.827483
8994,13294,1509599256.927620
9273,13572,1509599257.027766
9443,13742,1509599257.127903
9771,14072,1509599257.228063
10027,14326,1509599257.328194
10178,14479,1509599257.428375
10255,14561,1509599257.528492
10295,14599,1509599257.628645
10299,14603,1509599257.728811
10299,14603,1509599257.828978
10296,14603,1509599257.929142
10296,14603,1509599258.029309
10285,14610,1509599258.129474
10264,14627,1509599258.229644
10253,14635,1509599258.329814
10233,14651,1509599258.429987
10219,14654,1509599258.530108
10209,14655,1509599258.630203
10215,14650,1509599258.730321
10224,14637,1509599258.830463
10255,14602,1509599258.930623
10336,14515,1509599259.030763
10404,14443,1509599259.130917
10532,14314,1509599259.231087
10626,14210,1509599259.331267
10774,14058,1509599259.431420
10848,13982,1509599259.531546
11019,13806,1509599259.631711
11090,13731,1509599259.731891
11209,13610,1509599259.832032
11275,13543,1509599259.932199
11287,13532,1509599260.032387
11288,13532,1509599260.132522
11294,13542,1509599260.232685
11311,13566,1509599260.332867
11347,13602,1509599260.433054
11402,13655,1509599260.533217
11493,13747,1509599260.633389
11643,13894,1509599260.733525
11738,13990,1509599260.833682
11819,14070,1509599260.933859
11974,14222,1509599261.034022
12122,14370,1509599261.134199
12277,14525,1509599261.234313
12356,14604,1509599261.334434
12516,14764,1509599261.434594
12568,14814,1509599261.534714
12583,14829,1509599261.634902
12585,14830,1509599261.735074
12585,14830,1509599261.835263
12585,14830,1509599261.935438
12574,14822,1509599262.035570
12537,14786,1509599262.135722
12506,14759,1509599262.235896
12424,14682,1509599262.336075
12340,14576,1509599262.436220
12307,14514,1509599262.536380
12252,14374,1509599262.636550
12181,14218,1509599262.736734
12128,14018,1509599262.836900
12099,13898,1509599262.937071
12024,13625,1509599263.037238
11979,13464,1509599263.137405
11911,13216,1509599263.237571
11830,13067,1509599263.337737
11715,12867,1509599263.437909
11651,12771,1509599263.538032
